Year,Geography,Fuel type,Demand characteristics,Unit of measure,Value
2018,Manitoba,Hydroelectricity,Residential,Terajoules,31914.0
2019,Manitoba,Hydroelectricity,Residential,Terajoules,31651.0
2015,Manitoba,Hydroelectricity,Public administration,Terajoules,1336.0
2016,Manitoba,Hydroelectricity,Public administration,Terajoules,1298.0
2017,Manitoba,Hydroelectricity,Public administration,Terajoules,1273.0
2018,Manitoba,Hydroelectricity,Public administration,Terajoules,1256.0
2019,Manitoba,Hydroelectricity,Public administration,Terajoules,1203.0
2015,Manitoba,Hydroelectricity,Commercial and other institutional,Terajoules,18946.0
2016,Manitoba,Hydroelectricity,Commercial and other institutional,Terajoules,18444.0
2017,Manitoba,Hydroelectricity,Commercial and other institutional,Terajoules,18747.0
2018,Manitoba,Hydroelectricity,Commercial and other institutional,Terajoules,19403.0
2019,Manitoba,Hydroelectricity,Commercial and other institutional,Terajoules,19080.0
2015,Manitoba,Coke,"Energy use, final demand",Terajoules,0.0
2016,Manitoba,Coke,"Energy use, final demand",Terajoules,0.0
2017,Manitoba,Coke,"Energy use, final demand",Terajoules,0.0
2018,Manitoba,Coke,"Energy use, final demand",Terajoules,0.0
2019,Manitoba,Coke,"Energy use, final demand",Terajoules,0.0
2015,Manitoba,Coke,Total industrial,Terajoules,0.0
2016,Manitoba,Coke,Total industrial,Terajoules,0.0
2017,Manitoba,Coke,Total industrial,Terajoules,0.0
2018,Manitoba,Coke,Total industrial,Terajoules,0.0
2019,Manitoba,Coke,Total industrial,Terajoules,0.0
2015,Manitoba,Total refined petroleum products,"Energy use, final demand",Terajoules,118608.0
2016,Manitoba,Total refined petroleum products,"Energy use, final demand",Terajoules,122582.0
2017,Manitoba,Total refined petroleum products,"Energy use, final demand",Terajoules,128877.0
2018,Manitoba,Total refined petroleum products,"Energy use, final demand",Terajoules,138686.0
2019,Manitoba,Total refined petroleum products,"Energy use, final demand",Terajoules,137018.0
2015,Manitoba,Total refined petroleum products,Total industrial,Terajoules,11758.0
2016,Manitoba,Total refined petroleum products,Total industrial,Terajoules,11897.0
2017,Manitoba,Total refined petroleum products,Total industrial,Terajoules,13014.0
2018,Manitoba,Total refined petroleum products,Total industrial,Terajoules,13373.0
2019,Manitoba,Total refined petroleum products,Total industrial,Terajoules,13221.0
2015,Manitoba,Total refined petroleum products,Total transportation,Terajoules,81018.0
2016,Manitoba,Total refined petroleum products,Total transportation,Terajoules,83637.0
2017,Manitoba,Total refined petroleum products,Total transportation,Terajoules,86466.0
2018,Manitoba,Total refined petroleum products,Total transportation,Terajoules,94825.0
2019,Manitoba,Total refined petroleum products,Total transportation,Terajoules,95752.0
2015,Manitoba,Total refined petroleum products,Agriculture,Terajoules,20378.0
2016,Manitoba,Total refined petroleum products,Agriculture,Terajoules,20284.0
2017,Manitoba,Total refined petroleum products,Agriculture,Terajoules,21845.0
2018,Manitoba,Total refined petroleum products,Agriculture,Terajoules,23262.0
2019,Manitoba,Total refined petroleum products,Agriculture,Terajoules,21210.0
2015,Manitoba,Total refined petroleum products,Residential,Terajoules,184.0
2016,Manitoba,Total refined petroleum products,Residential,Terajoules,100.0
2017,Manitoba,Total refined petroleum products,Residential,Terajoules,148.0
2018,Manitoba,Total refined petroleum products,Residential,Terajoules,177.0
2019,Manitoba,Total refined petroleum products,Residential,Terajoules,142.0
2015,Manitoba,Total refined petroleum products,Public administration,Terajoules,2491.0
2016,Manitoba,Total refined petroleum products,Public administration,Terajoules,3033.0
2017,Manitoba,Total refined petroleum products,Public administration,Terajoules,3132.0
2018,Manitoba,Total refined petroleum products,Public administration,Terajoules,3007.0
2019,Manitoba,Total refined petroleum products,Public administration,Terajoules,3014.0
2015,Manitoba,Total refined petroleum products,Commercial and other institutional,Terajoules,2779.0
2016,Manitoba,Total refined petroleum products,Commercial and other institutional,Terajoules,3632.0
2017,Manitoba,Total refined petroleum products,Commercial and other institutional,Terajoules,4271.0
2018,Manitoba,Total refined petroleum products,Commercial and other institutional,Terajoules,4041.0
2019,Manitoba,Total refined petroleum products,Commercial and other institutional,Terajoules,3679.0
2015,Saskatchewan,Total primary and secondary energy,"Energy use, final demand",Terajoules,511174.0
2016,Saskatchewan,Total primary and secondary energy,"Energy use, final demand",Terajoules,500232.0
2017,Saskatchewan,Total primary and secondary energy,"Energy use, final demand",Terajoules,515517.0
2018,Saskatchewan,Total primary and secondary energy,"Energy use, final demand",Terajoules,537213.0
2019,Saskatchewan,Total primary and secondary energy,"Energy use, final demand",Terajoules,537391.0
2015,Saskatchewan,Total primary and secondary energy,Total industrial,Terajoules,149591.0
2016,Saskatchewan,Total primary and secondary energy,Total industrial,Terajoules,145042.0
2017,Saskatchewan,Total primary and secondary energy,Total industrial,Terajoules,155356.0
2018,Saskatchewan,Total primary and secondary energy,Total industrial,Terajoules,161430.0
2019,Saskatchewan,Total primary and secondary energy,Total industrial,Terajoules,163650.0
2015,Saskatchewan,Total primary and secondary energy,Total transportation,Terajoules,178420.0
2016,Saskatchewan,Total primary and secondary energy,Total transportation,Terajoules,170638.0
2017,Saskatchewan,Total primary and secondary energy,Total transportation,Terajoules,165012.0
2018,Saskatchewan,Total primary and secondary energy,Total transportation,Terajoules,170751.0
2019,Saskatchewan,Total primary and secondary energy,Total transportation,Terajoules,167201.0
2015,Saskatchewan,Total primary and secondary energy,Agriculture,Terajoules,84422.0
2016,Saskatchewan,Total primary and secondary energy,Agriculture,Terajoules,82234.0
2017,Saskatchewan,Total primary and secondary energy,Agriculture,Terajoules,83293.0
2018,Saskatchewan,Total primary and secondary energy,Agriculture,Terajoules,86258.0
2019,Saskatchewan,Total primary and secondary energy,Agriculture,Terajoules,81958.0
2015,Saskatchewan,Total primary and secondary energy,Residential,Terajoules,48107.0
2016,Saskatchewan,Total primary and secondary energy,Residential,Terajoules,46851.0
2017,Saskatchewan,Total primary and secondary energy,Residential,Terajoules,50538.0
2018,Saskatchewan,Total primary and secondary energy,Residential,Terajoules,54350.0
2019,Saskatchewan,Total primary and secondary energy,Residential,Terajoules,56230.0
2015,Saskatchewan,Total primary and secondary energy,Public administration,Terajoules,9238.0
2016,Saskatchewan,Total primary and secondary energy,Public administration,Terajoules,10523.0
2017,Saskatchewan,Total primary and secondary energy,Public administration,Terajoules,11013.0
2018,Saskatchewan,Total primary and secondary energy,Public administration,Terajoules,11488.0
2019,Saskatchewan,Total primary and secondary energy,Public administration,Terajoules,11582.0
2015,Saskatchewan,Total primary and secondary energy,Commercial and other institutional,Terajoules,41402.0
2016,Saskatchewan,Total primary and secondary energy,Commercial and other institutional,Terajoules,44944.0
2017,Saskatchewan,Total primary and secondary energy,Commercial and other institutional,Terajoules,50241.0
2018,Saskatchewan,Total primary and secondary energy,Commercial and other institutional,Terajoules,52866.0
2019,Saskatchewan,Total primary and secondary energy,Commercial and other institutional,Terajoules,56693.0
2015,Saskatchewan,Total coal,"Energy use, final demand",Terajoules,
2016,Saskatchewan,Total coal,"Energy use, final demand",Terajoules,
2017,Saskatchewan,Total coal,"Energy use, final demand",Terajoules,0.0
2018,Saskatchewan,Total coal,"Energy use, final demand",Terajoules,0.0
2019,Saskatchewan,Total coal,"Energy use, final demand",Terajoules,0.0
2015,Saskatchewan,Total coal,Total industrial,Terajoules,0.0
2016,Saskatchewan,Total coal,Total industrial,Terajoules,0.0
2017,Saskatchewan,Total coal,Total industrial,Terajoules,0.0
2018,Saskatchewan,Total coal,Total industrial,Terajoules,0.0
2019,Saskatchewan,Total coal,Total industrial,Terajoules,0.0
2015,Saskatchewan,Total coal,Residential,Terajoules,
2016,Saskatchewan,Total coal,Residential,Terajoules,
2017,Saskatchewan,Total coal,Residential,Terajoules,
2015,Saskatchewan,Total coal,Commercial and other institutional,Terajoules,0.0
2016,Saskatchewan,Total coal,Commercial and other institutional,Terajoules,0.0
2017,Saskatchewan,Total coal,Commercial and other institutional,Terajoules,0.0
2018,Saskatchewan,Total coal,Commercial and other institutional,Terajoules,0.0
2019,Saskatchewan,Total coal,Commercial and other institutional,Terajoules,0.0
2015,Saskatchewan,Natural gas,"Energy use, final demand",Terajoules,185243.0
2016,Saskatchewan,Natural gas,"Energy use, final demand",Terajoules,181715.0
2017,Saskatchewan,Natural gas,"Energy use, final demand",Terajoules,178576.0
2018,Saskatchewan,Natural gas,"Energy use, final demand",Terajoules,194656.0
2019,Saskatchewan,Natural gas,"Energy use, final demand",Terajoules,198312.0
2015,Saskatchewan,Natural gas,Total industrial,Terajoules,83275.0
2016,Saskatchewan,Natural gas,Total industrial,Terajoules,81358.0
2017,Saskatchewan,Natural gas,Total industrial,Terajoules,83416.0
2018,Saskatchewan,Natural gas,Total industrial,Terajoules,90119.0
2019,Saskatchewan,Natural gas,Total industrial,Terajoules,92406.0
2015,Saskatchewan,Natural gas,Total transportation,Terajoules,41704.0
2016,Saskatchewan,Natural gas,Total transportation,Terajoules,37755.0
2017,Saskatchewan,Natural gas,Total transportation,Terajoules,24967.0
2018,Saskatchewan,Natural gas,Total transportation,Terajoules,28038.0
2019,Saskatchewan,Natural gas,Total transportation,Terajoules,27009.0
2015,Saskatchewan,Natural gas,Agriculture,Terajoules,3445.0
2016,Saskatchewan,Natural gas,Agriculture,Terajoules,2624.0
2017,Saskatchewan,Natural gas,Agriculture,Terajoules,3304.0
2018,Saskatchewan,Natural gas,Agriculture,Terajoules,3292.0
2019,Saskatchewan,Natural gas,Agriculture,Terajoules,2500.0
2015,Saskatchewan,Natural gas,Residential,Terajoules,34459.0
2016,Saskatchewan,Natural gas,Residential,Terajoules,33584.0
2017,Saskatchewan,Natural gas,Residential,Terajoules,36913.0
2018,Saskatchewan,Natural gas,Residential,Terajoules,40550.0
2019,Saskatchewan,Natural gas,Residential,Terajoules,42810.0
2015,Saskatchewan,Natural gas,Public administration,Terajoules,2447.0
2016,Saskatchewan,Natural gas,Public administration,Terajoules,2888.0
2017,Saskatchewan,Natural gas,Public administration,Terajoules,3319.0
2018,Saskatchewan,Natural gas,Public administration,Terajoules,3573.0
2019,Saskatchewan,Natural gas,Public administration,Terajoules,3675.0
2015,Saskatchewan,Natural gas,Commercial and other institutional,Terajoules,19914.0
2016,Saskatchewan,Natural gas,Commercial and other institutional,Terajoules,23506.0
2017,Saskatchewan,Natural gas,Commercial and other institutional,Terajoules,26657.0
2018,Saskatchewan,Natural gas,Commercial and other institutional,Terajoules,29083.0
2019,Saskatchewan,Natural gas,Commercial and other institutional,Terajoules,29910.0
2015,Saskatchewan,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,7696.0
2016,Saskatchewan,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,6111.0
2017,Saskatchewan,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,6353.0
2018,Saskatchewan,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,6987.0
2019,Saskatchewan,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,7673.0
2015,Saskatchewan,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,6001.0
2016,Saskatchewan,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,
2017,Saskatchewan,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,
2018,Saskatchewan,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,5456.0
2019,Saskatchewan,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,5989.0
2015,Saskatchewan,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,181.0
2016,Saskatchewan,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,144.0
2017,Saskatchewan,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,127.0
2018,Saskatchewan,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,139.0
2019,Saskatchewan,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,153.0
2015,Saskatchewan,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,82.0
2016,Saskatchewan,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,65.0
2017,Saskatchewan,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,63.0
2018,Saskatchewan,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,70.0
2019,Saskatchewan,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,77.0
2015,Saskatchewan,Gas plant natural gas liquids (NGL's),Residential,Terajoules,409.0
2016,Saskatchewan,Gas plant natural gas liquids (NGL's),Residential,Terajoules,324.0
2017,Saskatchewan,Gas plant natural gas liquids (NGL's),Residential,Terajoules,
2018,Saskatchewan,Gas plant natural gas liquids (NGL's),Residential,Terajoules,348.0
2019,Saskatchewan,Gas plant natural gas liquids (NGL's),Residential,Terajoules,383.0
2015,Saskatchewan,Gas plant natural gas liquids (NGL's),Public administration,Terajoules,
2016,Saskatchewan,Gas plant natural gas liquids (NGL's),Public administration,Terajoules,
2015,Saskatchewan,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,1029.0
2016,Saskatchewan,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,816.0
2017,Saskatchewan,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,823.0
2018,Saskatchewan,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,905.0
2019,Saskatchewan,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,995.0
2015,Saskatchewan,Hydroelectricity,"Energy use, final demand",Terajoules,80411.0
2016,Saskatchewan,Hydroelectricity,"Energy use, final demand",Terajoules,81898.0
2017,Saskatchewan,Hydroelectricity,"Energy use, final demand",Terajoules,86632.0
2018,Saskatchewan,Hydroelectricity,"Energy use, final demand",Terajoules,85435.0
2019,Saskatchewan,Hydroelectricity,"Energy use, final demand",Terajoules,85133.0
2015,Saskatchewan,Hydroelectricity,Total industrial,Terajoules,37063.0
2016,Saskatchewan,Hydroelectricity,Total industrial,Terajoules,38019.0
2017,Saskatchewan,Hydroelectricity,Total industrial,Terajoules,40744.0
2018,Saskatchewan,Hydroelectricity,Total industrial,Terajoules,38344.0
2019,Saskatchewan,Hydroelectricity,Total industrial,Terajoules,36652.0
2015,Saskatchewan,Hydroelectricity,Total transportation,Terajoules,6861.0
2016,Saskatchewan,Hydroelectricity,Total transportation,Terajoules,8237.0
2017,Saskatchewan,Hydroelectricity,Total transportation,Terajoules,9264.0
2018,Saskatchewan,Hydroelectricity,Total transportation,Terajoules,9913.0
2019,Saskatchewan,Hydroelectricity,Total transportation,Terajoules,9602.0
2015,Saskatchewan,Hydroelectricity,Agriculture,Terajoules,4595.0
2016,Saskatchewan,Hydroelectricity,Agriculture,Terajoules,4291.0
