Year,Units,data.Geography,data.Offences,data.Age of accused,data.Sex of accused,GeoCode,Value
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,data.25 to 34 years,"data.Total, sex of accused",,141
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,data.25 to 34 years,data.Males,,141
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,data.25 to 34 years,data.Females,,137
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,data.25 to 34 years,data.Sex unknown,,138
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,data.35 to 44 years,"data.Total, sex of accused",,136
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,data.35 to 44 years,data.Males,,136
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,data.35 to 44 years,data.Females,,134
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,data.35 to 44 years,data.Sex unknown,,136
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,data.45 to 54 years,"data.Total, sex of accused",,139
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,data.45 to 54 years,data.Males,,141
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,data.45 to 54 years,data.Females,,133
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,data.45 to 54 years,data.Sex unknown,,141
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,data.55 years and over,"data.Total, sex of accused",,120
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,data.55 years and over,data.Males,,123
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,data.55 years and over,data.Females,,102
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,data.55 years and over,data.Sex unknown,,127
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,data.Other ages,"data.Total, sex of accused",,110
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,data.Other ages,data.Males,,127
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,data.Other ages,data.Females,,99
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,data.Other ages,data.Sex unknown,,71
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,data.Age not applicable,"data.Total, sex of accused",,245
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,data.Age not applicable,data.Company,,245
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,"data.Total, age of accused","data.Total, sex of accused",,140
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,"data.Total, age of accused",data.Males,,141
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,"data.Total, age of accused",data.Females,,130
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,"data.Total, age of accused",data.Company,,129
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,"data.Total, age of accused",data.Sex unknown,,140
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.18 to 24 years,"data.Total, sex of accused",,153
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.18 to 24 years,data.Males,,158
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.18 to 24 years,data.Females,,135
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.18 to 24 years,data.Sex unknown,,154
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.25 to 34 years,"data.Total, sex of accused",,137
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.25 to 34 years,data.Males,,139
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.25 to 34 years,data.Females,,134
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.25 to 34 years,data.Sex unknown,,136
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.35 to 44 years,"data.Total, sex of accused",,135
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.35 to 44 years,data.Males,,136
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.35 to 44 years,data.Females,,131
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.35 to 44 years,data.Sex unknown,,135
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.45 to 54 years,"data.Total, sex of accused",,141
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.45 to 54 years,data.Males,,142
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.45 to 54 years,data.Females,,131
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.45 to 54 years,data.Sex unknown,,141
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.55 years and over,"data.Total, sex of accused",,127
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.55 years and over,data.Males,,132
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.55 years and over,data.Females,,104
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.55 years and over,data.Sex unknown,,129
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.Other ages,"data.Total, sex of accused",,114
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.Other ages,data.Males,,138
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.Other ages,data.Females,,99
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.Other ages,data.Sex unknown,,64
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.Age not applicable,"data.Total, sex of accused",,129
2018/2019,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.Age not applicable,data.Company,,129
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,"data.Total, age of accused","data.Total, sex of accused",,179
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,"data.Total, age of accused",data.Males,,185
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,"data.Total, age of accused",data.Females,,156
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,"data.Total, age of accused",data.Company,,162
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,"data.Total, age of accused",data.Sex unknown,,176
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.18 to 24 years,"data.Total, sex of accused",,204
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.18 to 24 years,data.Males,,218
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.18 to 24 years,data.Females,,164
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.18 to 24 years,data.Sex unknown,,196
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.25 to 34 years,"data.Total, sex of accused",,179
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.25 to 34 years,data.Males,,185
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.25 to 34 years,data.Females,,157
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.25 to 34 years,data.Sex unknown,,173
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.35 to 44 years,"data.Total, sex of accused",,171
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.35 to 44 years,data.Males,,176
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.35 to 44 years,data.Females,,153
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.35 to 44 years,data.Sex unknown,,165
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.45 to 54 years,"data.Total, sex of accused",,175
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.45 to 54 years,data.Males,,179
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.45 to 54 years,data.Females,,155
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.45 to 54 years,data.Sex unknown,,169
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.55 years and over,"data.Total, sex of accused",,164
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.55 years and over,data.Males,,167
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.55 years and over,data.Females,,142
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.55 years and over,data.Sex unknown,,169
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.Other ages,"data.Total, sex of accused",,128
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.Other ages,data.Males,,151
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.Other ages,data.Females,,96
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.Other ages,data.Sex unknown,,79
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.Age not applicable,"data.Total, sex of accused",,162
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.Age not applicable,data.Company,,162
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,"data.Total, age of accused","data.Total, sex of accused",,132
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,"data.Total, age of accused",data.Males,,131
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,"data.Total, age of accused",data.Females,,127
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,"data.Total, age of accused",data.Company,,351
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,"data.Total, age of accused",data.Sex unknown,,156
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,data.18 to 24 years,"data.Total, sex of accused",,145
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,data.18 to 24 years,data.Males,,147
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,data.18 to 24 years,data.Females,,133
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,data.18 to 24 years,data.Sex unknown,,175
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,data.25 to 34 years,"data.Total, sex of accused",,134
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,data.25 to 34 years,data.Males,,133
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,data.25 to 34 years,data.Females,,134
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,data.25 to 34 years,data.Sex unknown,,154
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,data.35 to 44 years,"data.Total, sex of accused",,128
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,data.35 to 44 years,data.Males,,126
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,data.35 to 44 years,data.Females,,132
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,data.35 to 44 years,data.Sex unknown,,155
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,data.45 to 54 years,"data.Total, sex of accused",,127
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,data.45 to 54 years,data.Males,,125
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,data.45 to 54 years,data.Females,,125
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,data.45 to 54 years,data.Sex unknown,,164
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,data.55 years and over,"data.Total, sex of accused",,99
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,data.55 years and over,data.Males,,105
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,data.55 years and over,data.Females,,86
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,data.55 years and over,data.Sex unknown,,128
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,data.Other ages,"data.Total, sex of accused",,103
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,data.Other ages,data.Males,,113
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,data.Other ages,data.Females,,103
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,data.Other ages,data.Sex unknown,,26
2018/2019,data.Adult criminal courts,data.Canada,data.Crimes against property,data.Age not applicable,"data.Total, sex of accused",,351
