Year,Géographie,data.Type of work,data.National Occupational Classification (NOC),Groupe d'âge,Value
2015,Canada,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,0.84
2016,Canada,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,1.24
2017,Canada,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,0.99
2018,Canada,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,1.0
2019,Canada,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,0.94
2020,Canada,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,1.26
2015,Canada,data.Part-time employees,data.Sales and service occupations [6],15 ans et plus,1.02
2016,Canada,data.Part-time employees,data.Sales and service occupations [6],15 ans et plus,1.0
2017,Canada,data.Part-time employees,data.Sales and service occupations [6],15 ans et plus,1.0
2018,Canada,data.Part-time employees,data.Sales and service occupations [6],15 ans et plus,1.0
2019,Canada,data.Part-time employees,data.Sales and service occupations [6],15 ans et plus,1.0
2020,Canada,data.Part-time employees,data.Sales and service occupations [6],15 ans et plus,1.01
2015,Canada,data.Part-time employees,data.Sales and service occupations [6],15 à 24 ans,1.0
2016,Canada,data.Part-time employees,data.Sales and service occupations [6],15 à 24 ans,1.0
2017,Canada,data.Part-time employees,data.Sales and service occupations [6],15 à 24 ans,1.0
2018,Canada,data.Part-time employees,data.Sales and service occupations [6],15 à 24 ans,0.99
2019,Canada,data.Part-time employees,data.Sales and service occupations [6],15 à 24 ans,1.0
2020,Canada,data.Part-time employees,data.Sales and service occupations [6],15 à 24 ans,1.0
2015,Canada,data.Part-time employees,data.Sales and service occupations [6],25 à 54 ans,0.96
2016,Canada,data.Part-time employees,data.Sales and service occupations [6],25 à 54 ans,1.0
2017,Canada,data.Part-time employees,data.Sales and service occupations [6],25 à 54 ans,0.95
2018,Canada,data.Part-time employees,data.Sales and service occupations [6],25 à 54 ans,1.0
2019,Canada,data.Part-time employees,data.Sales and service occupations [6],25 à 54 ans,1.0
2020,Canada,data.Part-time employees,data.Sales and service occupations [6],25 à 54 ans,1.0
2015,Canada,data.Part-time employees,data.Sales and service occupations [6],55 ans et plus,1.0
2016,Canada,data.Part-time employees,data.Sales and service occupations [6],55 ans et plus,0.96
2017,Canada,data.Part-time employees,data.Sales and service occupations [6],55 ans et plus,0.95
2018,Canada,data.Part-time employees,data.Sales and service occupations [6],55 ans et plus,0.93
2019,Canada,data.Part-time employees,data.Sales and service occupations [6],55 ans et plus,1.0
2020,Canada,data.Part-time employees,data.Sales and service occupations [6],55 ans et plus,0.94
2015,Canada,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,0.9
2016,Canada,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,0.99
2017,Canada,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,1.0
2018,Canada,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,0.97
2019,Canada,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,1.04
2020,Canada,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,1.0
2015,Canada,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,0.91
2016,Canada,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,1.0
2017,Canada,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,0.93
2018,Canada,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,0.93
2019,Canada,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,1.0
2020,Canada,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,0.91
2015,Canada,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.83
2016,Canada,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.85
2017,Canada,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.89
2018,Canada,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.87
2019,Canada,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.94
2020,Canada,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.93
2015,Canada,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,0.85
2016,Canada,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,0.95
2017,Canada,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,0.95
2018,Canada,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,1.0
2019,Canada,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,0.97
2020,Canada,data.Part-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,0.94
2015,Canada,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,1.02
2016,Canada,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,0.86
2017,Canada,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,0.97
2018,Canada,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,0.93
2019,Canada,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,1.0
2020,Canada,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,1.0
2015,Canada,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,0.96
2016,Canada,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,0.88
2017,Canada,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,1.0
2018,Canada,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,1.0
2019,Canada,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,0.93
2020,Canada,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,1.0
2015,Canada,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,0.84
2016,Canada,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,1.0
2017,Canada,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,0.97
2018,Canada,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,0.81
2019,Canada,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,0.89
2020,Canada,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,1.14
2015,Canada,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,
2016,Canada,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,0.93
2017,Canada,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,0.97
2018,Canada,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,0.75
2019,Canada,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,0.88
2020,Canada,data.Part-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,0.94
2015,Canada,data.Part-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.95
2016,Canada,data.Part-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.91
2017,Canada,data.Part-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.93
2018,Canada,data.Part-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.96
2019,Canada,data.Part-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.91
2020,Canada,data.Part-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.89
2015,Canada,data.Part-time employees,data.Occupations in manufacturing and utilities [9],15 à 24 ans,0.94
2016,Canada,data.Part-time employees,data.Occupations in manufacturing and utilities [9],15 à 24 ans,0.92
